model,timestamp,split,loss,acc,precision,recall,f1,mcc,tp_rate,fp_rate,tn_rate,fn_rate
CNN_Daily_SP500_N5,2025-04-24T19:36:02,train,0.697714192221734,0.605015673981191,0.645101663585952,0.853300733496333,0.734736842105263,0.01986951294706,0.853300733496333,0.838427947598253,0.161572052401747,0.146699266503667
CNN_Daily_SP500_N5,2025-04-24T19:36:02,test,0.7285149218407894,0.524355300859599,0.561436672967864,0.52753108348135,0.543956043956044,0.048057511652585,0.52753108348135,0.479338842975207,0.520661157024793,0.47246891651865
CNN_Daily_SP500_N10,2025-04-24T19:36:43,train,0.6945399887741264,0.607142857142857,0.650655021834061,0.832402234636871,0.730392156862745,0.050169237071331,0.832402234636871,0.792079207920792,0.207920792079208,0.167597765363128
CNN_Daily_SP500_N10,2025-04-24T19:36:43,test,0.7320852942051026,0.525557011795544,0.6,0.474418604651163,0.52987012987013,0.065865459538077,0.474418604651163,0.408408408408408,0.591591591591592,0.525581395348837
CNN_Daily_SP500_N20,2025-04-24T19:37:38,train,0.693501892738106,0.610820244328098,0.798955613577023,0.676991150442478,0.732934131736527,0.03522134728687,0.676991150442478,0.636363636363636,0.363636363636364,0.323008849557522
CNN_Daily_SP500_N20,2025-04-24T19:37:38,test,0.7252848569243016,0.530932594644506,0.463963963963964,0.432773109243697,0.547826086956522,0.041053099359403,0.432773109243697,0.392092257001647,0.607907742998353,0.567226890756303
CNN_Daily_SP500_N40,2025-04-24T19:38:20,train,0.6926645553799978,0.614840989399293,0.684210526315789,0.788918205804749,0.732843137254902,0.057128327076769,0.788918205804749,0.737967914438503,0.262032085561497,0.211081794195251
CNN_Daily_SP500_N40,2025-04-24T19:38:20,test,0.7264637980112165,0.528712871287129,0.538306451612903,0.519455252918288,0.528712871287129,0.057761704531191,0.519455252918288,0.461693548387097,0.538306451612903,0.480544747081712
LSTM_Daily_SP500_N5,2025-04-24T23:09:10,train,0.6960909167159631,0.607874015748031,0.718446601941748,0.68997668997669,0.703923900118906,0.124428479252667,0.68997668997669,0.563106796116505,0.436893203883495,0.31002331002331
LSTM_Daily_SP500_N5,2025-04-24T23:09:10,test,0.7265649947056143,0.529457973291438,0.486291486291486,0.581034482758621,0.529457973291438,0.067325969050107,0.581034482758621,0.513708513708514,0.486291486291486,0.418965517241379
LSTM_Daily_SP500_N10,2025-04-24T23:31:52,train,0.6961803741996475,0.61214953271028,0.731981981981982,0.714285714285714,0.723025583982203,0.076658964157414,0.714285714285714,0.636363636363636,0.363636363636364,0.285714285714286
LSTM_Daily_SP500_N10,2025-04-24T23:31:52,test,0.7277305741113008,0.528263103802672,0.571428571428571,0.43495145631068,0.49393605292172,0.061342975062537,0.43495145631068,0.366812227074236,0.633187772925764,0.56504854368932
LSTM_Daily_SP500_N20,2025-04-25T00:09:18,train,0.6903508600548834,0.617753623188406,0.769230769230769,0.712589073634204,0.739827373612824,0.023886504799836,0.712589073634204,0.687022900763359,0.312977099236641,0.287410926365796
LSTM_Daily_SP500_N20,2025-04-25T00:09:18,test,0.7249673350177617,0.53030303030303,0.611859838274933,0.62707182320442,0.5893724420191,0.06430239155589,0.62707182320442,0.620689655172414,0.379310344827586,0.37292817679558
LSTM_Daily_SP500_N40,2025-04-25T01:06:42,train,0.6906781100625208,0.622149837133551,0.663923182441701,0.824531516183986,0.735562310030395,0.107699213230021,0.824531516183986,0.733532934131736,0.266467065868263,0.175468483816014
LSTM_Daily_SP500_N40,2025-04-25T01:06:42,test,0.7252571152803695,0.533807829181495,0.49632892804699,0.651252408477842,0.563333333333333,0.08601345133868,0.651252408477842,0.566942148760331,0.433057851239669,0.348747591522158
TF_Daily_SP500_N5,2025-04-25T03:46:31,train,0.6881989892275254,0.629969418960245,0.779956427015251,0.717434869739479,0.747390396659708,0.061187587005396,0.717434869739479,0.651612903225806,0.348387096774194,0.282565130260521
TF_Daily_SP500_N5,2025-04-25T03:46:31,test,0.7206933469784278,0.543554006968641,0.474336283185841,0.736263736263736,0.576964477933262,0.131233809876382,0.736263736263736,0.597585513078471,0.402414486921529,0.263736263736264
TF_Daily_SP500_N10,2025-04-25T07:31:13,train,0.6902037331098224,0.631799163179916,0.703435804701627,0.795501022494888,0.746641074856046,0.084490554628921,0.795501022494888,0.719298245614035,0.280701754385965,0.204498977505112
TF_Daily_SP500_N10,2025-04-25T07:31:13,test,0.7222335244307643,0.545235223160434,0.650214592274678,0.586073500967118,0.61648016276704,0.082142699365301,0.586073500967118,0.522435897435897,0.477564102564103,0.413926499032882
TF_Daily_SP500_N20,2025-04-25T17:05:52,train,0.6838345086593507,0.635135135135135,0.695852534562212,0.841225626740947,0.761664564943254,0.013810527125613,0.841225626740947,0.830188679245283,0.169811320754717,0.158774373259053
TF_Daily_SP500_N20,2025-04-25T17:05:52,test,0.7233777488423446,0.548051948051948,0.560283687943262,0.413612565445026,0.635903614457831,0.09757894723225,0.413612565445026,0.319587628865979,0.680412371134021,0.586387434554974
TF_Daily_SP500_N40,2025-04-25T23:05:33,train,0.6843888532190474,0.636833046471601,0.716216216216216,0.789081885856079,0.750885478158205,0.088197482211636,0.789081885856079,0.707865168539326,0.292134831460674,0.210918114143921
TF_Daily_SP500_N40,2025-04-25T23:05:33,test,0.7189417908430825,0.554455445544555,0.571895424836601,0.709939148073022,0.633484162895928,0.085117571056333,0.709939148073022,0.629807692307692,0.370192307692308,0.290060851926978
TF-GO_Daily_SP500_N5,2025-04-26T04:06:20,train,0.683280670113371,0.638020833333333,0.733558178752108,0.783783783783784,0.757839721254355,0.044826681407498,0.783783783783784,0.741784037558685,0.258215962441315,0.216216216216216
TF-GO_Daily_SP500_N5,2025-04-26T04:06:20,test,0.7216189656097173,0.551535087719298,0.48256880733945,0.674358974358974,0.562566844919786,0.135319145788735,0.674358974358974,0.540229885057471,0.459770114942529,0.325641025641026
TF-GO_Daily_SP500_N10,2025-04-26T07:53:37,train,0.6816480944671525,0.64010989010989,0.785310734463277,0.738053097345133,0.760948905109489,0.036280525920376,0.738053097345133,0.699386503067485,0.300613496932515,0.261946902654867
TF-GO_Daily_SP500_N10,2025-04-26T07:53:37,test,0.7212145564493467,0.55421686746988,0.624203821656051,0.491638795986622,0.650046772684752,0.123929321496242,0.491638795986622,0.367983367983368,0.632016632016632,0.508361204013378
TF-GO_Daily_SP500_N20,2025-04-26T13:49:04,train,0.6815459346881078,0.64200477326969,0.71833084947839,0.812816188870152,0.762658227848101,0.047126080343022,0.812816188870152,0.771428571428571,0.228571428571429,0.187183811129848
TF-GO_Daily_SP500_N20,2025-04-26T13:49:04,test,0.7193984614975157,0.558762886597938,0.464102564102564,0.4525,0.648227848101266,0.086174168559084,0.4525,0.366666666666667,0.633333333333333,0.5475
TF-GO_Daily_SP500_N40,2025-04-26T19:12:54,train,0.6741634532504139,0.658690176322418,0.742496050552923,0.813148788927336,0.776218001651528,0.06477002729408,0.813148788927336,0.75462962962963,0.24537037037037,0.186851211072664
TF-GO_Daily_SP500_N40,2025-04-26T19:12:54,test,0.7136286755665944,0.562166285278413,0.465151515151515,0.581439393939394,0.616835016835017,0.12811775717983,0.581439393939394,0.450830140485313,0.549169859514687,0.418560606060606
